Parameter,Estimate
mu_1,5.32
mu_2,-0.94
mu_3,2.56
psi_pi,0.45
psi_z,1.43
alpha_S_Delta,2.99
beta_D,0.12
minus_gamma_D,0.78
B_1_1,1.08
B_2_1,-1.15
B_3_1,-0.3
B_4_1,-0.18
B_5_1,-0.05
B_6_1,-0.01
B_7_1,0.02
B_8_1,0.02
B_9_1,0.11
B_10_1,0.02
B_11_1,0.01
B_12_1,0.02
Phi_1_2,0.1
Phi_2_2,0.98
Phi_3_2,0.03
Phi_4_2,-0.06
Phi_5_2,-0.03
Phi_6_2,-0.02
Phi_7_2,-0.05
Phi_8_2,-0.02
Phi_9_2,-0.04
Phi_10_2,0
Phi_11_2,-0.02
Phi_12_2,-0.01
Phi_1_3,0.08
Phi_2_3,0.02
Phi_3_3,0.92
Phi_4_3,0
Phi_5_3,-0.02
Phi_6_3,-0.08
Phi_7_3,-0.03
Phi_8_3,-0.05
Phi_9_3,-0.02
Phi_10_3,-0.01
Phi_11_3,0
Phi_12_3,-0.01
Phi_12_1_Delta,-0.05
Phi_12_2_Delta,-0.36
D_1_1,0.6
D_2_2,0.44
D_3_3,1.64
lambda_phi,0.81
lambda_0,11.87
lambda_l,3.25
rho_varsigma_1,0.89
rho_varsigma_2,0.79
rho_varsigma_3,0.88
varsigma_1,0.29
varsigma_2,0.3
varsigma_3,0.29
