Parameter,Estimate
tau,0.357387713807614
Eq.3 Constant,-0.125709208209768
Eq.3 PGR,0.132664221380193
Eq.3 INFL_1,0.295521829045038
Eq.3 INFL_2,0.088819404515032
Eq.3 YGAP_BOJ_1,0.175246697220412
Eq.3 YGAP_BOJ_2,-0.145538217385258
Eq.3 SR_1,1.23818147365058
Eq.3 SR_2,-0.35816742597136
Eq.3 lSR_1,0.567004015168205
Eq.3 lSR_2,0.42249997403585
tildebeta_1,-0.026362521356768
tildebeta_2,-0.77776907942012
Eq.1 Constant,0.0055827183384
Eq.1 PGR,0.008896996849224
Eq.1 INFL_1,-0.00075365356865
Eq.1 INFL_2,-0.090140858380361
Eq.1 YGAP_BOJ_1,0.161144327919405
Eq.1 YGAP_BOJ_2,-0.063244772053654
Eq.1 SR_1,0.050902734150586
Eq.1 SR_2,-0.001974746890937
Eq.2 Constant,-0.141027352288003
Eq.2 PGR,0.075922788329094
Eq.2 INFL_1,0.091260254002804
Eq.2 INFL_2,-0.211079867048102
Eq.2 YGAP_BOJ_1,1.51572351460357
Eq.2 YGAP_BOJ_2,-0.593269170973906
Eq.2 SR_1,0.204206577669611
Eq.2 SR_2,-0.199666466564394
Eq.1 lSR_1,-0.288490138134839
Eq.1 lSR_2,0.210848444745381
Eq.2 lSR_1,-1.6462294828812
Eq.2 lSR_2,0.786926449180816
delta_1,0.108417058639622
delta_2,0.345860022066782
Ch_11,0.26699991580274
Ch_21,0.005346230304913
Ch_22,0.350742394416632
