Parameter,Estimate
tau,0.811433033951058
Eq.3 Constant,-0.076186658320053
Eq.3 INFL_1,0.058403122116461
Eq.3 INFL_2,0.142561457285665
Eq.3 INFL_3,-0.158510279209783
Eq.3 YGAP_1,0.399781491617507
Eq.3 YGAP_2,-0.105932074932525
Eq.3 YGAP_3,-0.219712706837053
Eq.3 FEDFUNDS_1,1.11715972474878
Eq.3 FEDFUNDS_2,-0.463719652841815
Eq.3 FEDFUNDS_3,0.346559928093031
Eq.3 lFEDFUNDS_1,0.706481688029922
Eq.3 lFEDFUNDS_2,0.476134600546972
Eq.3 lFEDFUNDS_3,-0.182616288576894
tildebeta_1,-0.141037890768352
tildebeta_2,0.016621810104288
Eq.1 Constant,0.306969457917527
Eq.1 INFL_1,0.587479873620185
Eq.1 INFL_2,0.117833785796147
Eq.1 INFL_3,0.217504363466425
Eq.1 YGAP_1,0.009927134530472
Eq.1 YGAP_2,0.008833522859989
Eq.1 YGAP_3,0.049924082310032
Eq.1 FEDFUNDS_1,0.25199872751181
Eq.1 FEDFUNDS_2,-0.224692819063099
Eq.1 FEDFUNDS_3,-0.027305908448711
Eq.2 Constant,0.037673549112999
Eq.2 INFL_1,0.034973239759566
Eq.2 INFL_2,0.039879705987745
Eq.2 INFL_3,-0.103851294831908
Eq.2 YGAP_1,1.12997323669164
Eq.2 YGAP_2,0.063684329551622
Eq.2 YGAP_3,-0.263176645994723
Eq.2 FEDFUNDS_1,0.093359199416072
Eq.2 FEDFUNDS_2,-0.354137946341565
Eq.2 FEDFUNDS_3,0.260778746925493
Eq.1 lFEDFUNDS_1,0.344536036032692
Eq.1 lFEDFUNDS_2,-1.12923558604181
Eq.1 lFEDFUNDS_3,0.643661659240762
Eq.2 lFEDFUNDS_1,-0.086515990574421
Eq.2 lFEDFUNDS_2,-0.097824270757772
Eq.2 lFEDFUNDS_3,0.200962071436481
delta_1,0.201807909071445
delta_2,0.207441251334922
Ch_11,0.89006174189311
Ch_21,-0.01977056813853
Ch_22,0.656806454095688
